Incidence Rate Report for Louisiana by Parish,,,,,,,,,,,,
,,,,,,,,,,,,
"All Cancer Sites (All Stages^), 2016-2020",,,,,,,,,,,,
,,,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,,,
,,,,,,,,,,,,
Sorted by Rate,,,,,,,,,,,,
,,,,,,,,,,,,
Parish, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
Louisiana,22000,478.3,475.6,480.9,N/A ,3,7,26491,rising,0.8,0.2,1.4
Iberville,22047,560.3,527.4,594.8,1,1,13,227,stable,3.3,-0.2,6
East Carroll,22035,547.9,476.6,627.3,2,1,59,44,stable,1,-0.4,2.4
St Landry,22097,544.8,523.7,566.5,3,1,11,542,rising,0.7,0.2,1.3
Morehouse,22067,528.8,493,566.6,4,1,43,179,stable,0.4,-0.4,1.1
St James,22093,516.8,477.8,558.4,5,1,55,142,stable,0.9,0,1.8
Franklin,22041,515.7,475.6,558.5,6,1,56,132,stable,0.7,-0.1,1.6
Vernon,22115,511.8,482.5,542.4,7,1,50,235,rising,0.9,0.1,1.8
St Martin,22099,510.5,485.5,536.5,8,2,43,332,stable,0,-0.8,0.8
De Soto,22031,509.5,476,544.9,9,1,53,184,stable,-0.2,-1.1,0.6
Ouachita,22073,508.2,493.1,523.7,10,3,34,892,stable,1.8,-0.5,4.9
Iberia,22045,504,482.1,526.7,11,3,47,422,stable,-0.2,-0.9,0.5
Natchitoches,22069,501.9,472.2,532.9,12,2,54,230,stable,0.4,-0.2,1
Jefferson Davis,22053,500.8,468.9,534.4,13,2,56,194,stable,0.2,-0.6,1
Terrebonne,22109,500.5,482.9,518.6,14,4,44,640,rising,0.6,0.3,1
Acadia,22001,500.5,477.4,524.5,15,3,49,370,stable,0.2,-0.2,0.6
